nom,adresse,telephone,note,nb_avis,categorie,site_web,google_maps_url,statut
Centre dentaire Bastille Paris 4,"14 Rue Jacques Cœur, 75004 Paris, France",+33 1 84 79 33 30,4.8,433,Dentiste,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-bastille,https://www.google.com/maps/search/?api=1&query=Centre%20dentaire%20Bastille%20Paris%204&query_place_id=ChIJwcxLOEJz5kcRPuySce92C5Q,À contacter
"Centre médical, dentaire et ophtalmologique Orthadent PARIS 11","122 Bd Voltaire, 75011 Paris, France",+33 1 81 80 81 18,3.9,363,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Centre%20m%C3%A9dical%2C%20dentaire%20et%20ophtalmologique%20Orthadent%20PARIS%2011&query_place_id=ChIJDa8igwFt5kcR_9x7Rg37tBA,À contacter
Dr Laurence Bersay-Servies - Dentiste Paris,"135 Ave Parmentier, 75011 Paris, France",+33 1 43 57 35 41,4.5,171,Dentiste,https://www.doctolib.fr/dentiste/paris/laurence-bersay-servies,https://www.google.com/maps/search/?api=1&query=Dr%20Laurence%20Bersay-Servies%20-%20Dentiste%20Paris&query_place_id=ChIJfYZQhEtt5kcRLICbYjMFW28,À contacter
Dr BACRIE Romain Chirurgien Dentiste,"171 Impasse Antoine de St Exupéry, 46400 Saint-Céré, France",+33 5 65 11 65 06,4.4,13,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Dr%20BACRIE%20Romain%20Chirurgien%20Dentiste&query_place_id=ChIJJ4fbMd8prRIRcKGQyR60Jk4,À contacter
MARLU Tahiana,"10 Rue Michel Yvon, 76600 Le Havre, France",+33 2 35 42 30 11,5,9,Dentiste,https://www.doctolib.fr/dentiste/le-havre/tahiana-marlu,https://www.google.com/maps/search/?api=1&query=MARLU%20Tahiana&query_place_id=ChIJrxbZ_xcv4EcRCUCD9eZ8Rz8,À contacter
Scm Pemi,"Route départementale 925, 76110 Bretteville-du-Grand-Caux, France",+33 9 64 44 11 71,,,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Scm%20Pemi&query_place_id=ChIJzc2HoE5A4EcRNzqjbCWLZEM,À contacter
Dr Christian Besnard,"20bis Rue Gustave Lambert, 76400 Fécamp, France",+33 2 35 28 11 68,3.2,15,Orthodontiste,https://www.doctolib.fr/orthodontiste/fecamp/christian-besnard,https://www.google.com/maps/search/?api=1&query=Dr%20Christian%20Besnard&query_place_id=ChIJW8JiMHVr4EcRv8hMVcLni2Q,À contacter
Docteur VLASSOFF Victor Chirurgien Dentiste,"22 Rte de Vaux-sur-Aure, 14400 Bayeux, France",+33 2 19 00 08 40,,,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Docteur%20VLASSOFF%20Victor%20Chirurgien%20Dentiste&query_place_id=ChIJCc1n1x6rC0gRn0VFVIlWED8,À contacter
Docteur PARIS Sarah | Médecin Généraliste | Piton Saint-Leu,"127 BIS CHEMIN DEPARTEMENTAL 11, Saint-Leu 97424, La Réunion",+262 693 05 77 96,4.3,11,Médecin généraliste,https://www.doctolib.fr/medecin-generaliste/saint-leu/sarah-paris-piton-saint-leu,https://www.google.com/maps/search/?api=1&query=Docteur%20PARIS%20Sarah%20%7C%20M%C3%A9decin%20G%C3%A9n%C3%A9raliste%20%7C%20Piton%20Saint-Leu&query_place_id=ChIJixULqeeXgiERR3dp-QEmAro,À contacter
Cabinet Azur Dentaire,"7 Av. de la République, 06300 Nice, France",+33 4 93 89 58 62,4.9,71,Dentiste,https://www.doctolib.fr/cabinet-dentaire/nice/cabinet-dentaire-azur-dentaire,https://www.google.com/maps/search/?api=1&query=Cabinet%20Azur%20Dentaire&query_place_id=ChIJL6yjODHbzRIRHt7tFU0TmSc,À contacter
Docteur Tsipora Amsellem,"11 Av. Jean Médecin, 06000 Nice, France",+33 4 93 87 94 81,4.8,27,Dentiste,https://www.doctolib.fr/dentiste/nice/tsipora-amsellem,https://www.google.com/maps/search/?api=1&query=Docteur%20Tsipora%20Amsellem&query_place_id=ChIJg9FMxabazRIRdP2UoxTjnX0,À contacter
Loïc TASSERY,"8 Bd du Dr Roux, 06440 L'Escarène, France",+33 4 93 81 11 70,4.7,13,Dentiste,https://www.doctolib.fr/dentiste/l-escarene/virginie-vaslon,https://www.google.com/maps/search/?api=1&query=Lo%C3%AFc%20TASSERY&query_place_id=ChIJm_2wf0bBzRIRffU0U1lhCxI,À contacter
Dr William MARRUCHI,"11 Av. du Trois Septembre, 06320 Cap-d'Ail, France",+33 4 92 10 78 79,5,16,Dentiste,https://www.doctolib.fr/dentiste/cap-d-ail/william-marruchi,https://www.google.com/maps/search/?api=1&query=Dr%20William%20MARRUCHI&query_place_id=ChIJNaJ5ao3DzRIR8LuGAXRsMJU,À contacter
Dr. Marine JEUDI,"18 Av. des Orangers, 06800 Cagnes-sur-Mer, France",+33 4 93 07 44 04,4.8,23,Dentiste pédiatrique,https://www.doctolib.fr/dentiste/cagnes-sur-mer/marine-jeudi-cagnes-sur-mer,https://www.google.com/maps/search/?api=1&query=Dr.%20Marine%20JEUDI&query_place_id=ChIJnyB4TrXTzRIRwELjp0tP3PU,À contacter
Bausap 1,"Rue du Montbrison, 05120 L'Argentière-la-Bessée, France",+33 4 92 23 11 71,,,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Bausap%201&query_place_id=ChIJg1s5g0CtzBIRSgCXeN-f4J8,À contacter
Bonnel Thierry,"11 Rue Du Vingt-Quatre Août, 06400 Cannes, France",+33 4 93 39 17 17,4,4,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Bonnel%20Thierry&query_place_id=ChIJUyalRpKBzhIRpsnjKuqj6fg,À contacter
Dr Alice Rondou,"3 Rue Antonin Coronat, 05000 Gap, France",+33 4 92 53 96 77,4.1,22,Gastro-entérologue,https://www.doctolib.fr/gastro-enterologue/paris/alice-rondou-paris,https://www.google.com/maps/search/?api=1&query=Dr%20Alice%20Rondou&query_place_id=ChIJR9TDsttt5kcRA0aKNCm6b-4,À contacter
Docteur Parinaz Dussart-Safari,"10 Cr du 11 Novembre, 06800 Cagnes-sur-Mer, France",+33 4 92 02 76 04,4.9,120,Dentiste,https://www.doctolib.fr/dentiste/cagnes-sur-mer/parinaz-dussart-safari?utm_source=google&utm_medium=organic&utm_term=dentiste&utm_content=cagnes-sur-mer&utm_campaign=google-maps,https://www.google.com/maps/search/?api=1&query=Docteur%20Parinaz%20Dussart-Safari&query_place_id=ChIJg5YTRpbTzRIRJ1ouC-3fiJ0,À contacter
Docteur Mathias Ferrandi - Dentiste Paris 17e Batignolles,"59 Rue Legendre, 75017 Paris, France",+33 1 46 27 40 02,4.7,50,Dentiste,Aucun,https://www.google.com/maps/search/?api=1&query=Docteur%20Mathias%20Ferrandi%20-%20Dentiste%20Paris%2017e%20Batignolles&query_place_id=ChIJ3Semw7Fv5kcRrO7AzIDE5Gk,À contacter
