nom,adresse,telephone,note,nb_avis,categorie,site_web,google_maps_url,statut
Abd Auto,"2 ter Boulevard Vercingétorix, Chem. des Glaisières, 95100 Argenteuil, France",+33 6 12 97 64 03,5,29,Atelier de carrosserie automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Abd%20Auto&query_place_id=ChIJxaD25aln5kcR6Ml9jOTwmoc,À contacter
Defi-auto,"9 Rue Alfred Labriere, 95100 Argenteuil, France",+33 1 34 11 19 36,3.4,20,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Defi-auto&query_place_id=ChIJ9ZOcSXFm5kcR_vuxzLhIiFM,À contacter
L’atelier de l’auto,"120 Rue Michel Carré, 95100 Argenteuil, France",+33 6 49 77 56 52,4.3,6,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=L%E2%80%99atelier%20de%20l%E2%80%99auto&query_place_id=ChIJA6wVWzNl5kcR7VbwTIwOu9o,À contacter
Auto FD,"20 Rue de Salonique, 95100 Argenteuil, France",+33 1 39 98 68 55,4.8,116,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Auto%20FD&query_place_id=ChIJt8fzvnRn5kcRuJbvpctERgQ,À contacter
garage HB mecanique,"6 Rue du Temple, 95100 Argenteuil, France",+33 7 58 27 92 56,5,2,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=garage%20HB%20mecanique&query_place_id=ChIJW_FvbCBn5kcRxMdGTVEiGNE,À contacter
GARAGE DE LA GRANDE CEINTURE - Citroën,"10 Rue de la Luitte, 95100 Argenteuil, France",+33 1 34 10 73 99,3.5,50,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=GARAGE%20DE%20LA%20GRANDE%20CEINTURE%20-%20Citro%C3%ABn&query_place_id=ChIJcYpcbCJm5kcRqNOAOnDE55M,À contacter
Garage Conrad,"69 Bis Rue Duguay, 95100 Argenteuil, France",+33 1 39 61 10 56,4.3,40,Atelier de carrosserie automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Garage%20Conrad&query_place_id=ChIJI0NV_Cpk5kcRW4UaD39fLmQ,À contacter
Soleil Garage 95,"87 Rue du Perreux, 95100 Argenteuil, France",+33 6 95 80 03 78,4.3,17,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Soleil%20Garage%2095&query_place_id=ChIJcWxiyYdn5kcREtakVirXWhk,À contacter
Rga Garage,"5 Rue Jean-Pierre Timbaud, 95100 Argenteuil, France",,4.4,7,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Rga%20Garage&query_place_id=ChIJaXk30aJm5kcRI8-qAKAimdw,À contacter
J&J auto-services,"27 Rue du Prunet, 95100 Argenteuil, France",+33 6 01 44 30 80,4.6,10,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=J%26J%20auto-services&query_place_id=ChIJAbrwo6Zm5kcRrMhxzosoXdM,À contacter
SN Garage Cyril SARL,"56 Rue Pierre Brossolette, 95200 Sarcelles, France",+33 1 34 19 94 78,4.7,74,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=SN%20Garage%20Cyril%20SARL&query_place_id=ChIJhRne0otp5kcRCHIfkmv-SCo,À contacter
MSA Multi Services Auto.,"16 Rte de Calais N1, 95410 Groslay, France",+33 1 39 84 17 91,3.4,208,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=MSA%20Multi%20Services%20Auto.&query_place_id=ChIJTYsN85xp5kcRU1rQYBYasVQ,À contacter
GARAGE DU MARAIS SARL - PEUGEOT,"2 Av. du Lycée, 95330 Domont, France",+33 1 39 91 09 91,3.9,549,Concessionnaire Peugeot,Aucun,https://www.google.com/maps/search/?api=1&query=GARAGE%20DU%20MARAIS%20SARL%20-%20PEUGEOT&query_place_id=ChIJ188Z03xC5kcReTgHxNlXpns,À contacter
